
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 23c-ost .b   09 VII10
datum  48000.00


115806.0  48486.86 99
115807.0  48486.44 99
115808.0  48486.00 99
115809.0  48485.73 99
115810.0  48485.74 99
115811.0  48486.01 99
115812.0  48486.51 99
115813.0  48486.46 99
115814.0  48486.18 99
115815.0  48485.92 99
115816.0  48486.12 99
115817.0  48486.44 99
115818.0  48486.55 99
115819.0  48486.46 99
115820.0  48486.52 99
115821.0  48486.70 99
115822.0  48486.85 99
115823.0  48486.71 99
115824.0  48486.32 99
115825.0  48486.31 99
115826.0  48486.46 99
115827.0  48486.30 99
115828.0  48485.94 99
115829.0  48486.20 99
115830.0  48486.95 99
115831.0  48487.05 99
115832.0  48487.37 99
115833.0  48488.07 99
115834.0  48488.87 99
115835.0  48489.98 99
115836.0  48490.84 99
115837.0  48491.16 99
115838.0  48491.18 99
115839.0  48491.20 99
115840.0  48491.41 99
115841.0  48491.38 99
115842.0  48490.82 99
115843.0  48490.01 99
115844.0  48489.55 99
115845.0  48489.26 99
115846.0  48489.67 99
115847.0  48489.81 99
115848.0  48489.76 99
115849.0  48489.68 99
115850.0  48488.98 99
115851.0  48488.85 99
115852.0  48488.29 99
115853.0  48488.09 99
115854.0  48487.84 99
115855.0  48488.17 99
115856.0  48488.00 99
115857.0  48487.73 99
115858.0  48487.15 99
115859.0  48486.80 99
115900.0  48486.59 99
115901.0  48486.09 99
115902.0  48486.32 99
115903.0  48485.83 99
115904.0  48485.07 99
115905.0  48484.61 99
115906.0  48484.70 99
115907.0  48485.19 99
115908.0  48486.11 99
115909.0  48486.64 99
115910.0  48487.04 99
115911.0  48487.39 99
115912.0  48487.51 99
115913.0  48488.06 99
115914.0  48488.97 99
115915.0  48489.36 99
115916.0  48489.16 99
115917.0  48489.05 99
115918.0  48489.08 99
115919.0  48488.62 99
115920.0  48489.16 99
115921.0  48489.50 99
115922.0  48489.32 99
115923.0  48489.16 99
115924.0  48488.87 99
115925.0  48488.27 99
115926.0  48487.94 99
115927.0  48487.12 99
115928.0  48486.27 99
115929.0  48486.10 99
115930.0  48486.13 99
115931.0  48486.06 99
115932.0  48485.90 99
115933.0  48486.36 99
115934.0  48487.22 99
115935.0  48487.62 99
115936.0  48488.51 99
115937.0  48489.10 99
115938.0  48488.91 99
115939.0  48489.44 99
115940.0  48490.52 99
115941.0  48490.95 99
115942.0  48490.82 99
115943.0  48490.73 99
115944.0  48490.29 99
115945.0  48489.71 99
115946.0  48489.31 99
115947.0  48488.69 99
115948.0  48488.46 99
115949.0  48488.73 99
115950.0  48488.62 99
115951.0  48488.53 99
115952.0  48488.21 99
115953.0  48488.18 99
115954.0  48487.57 99
115955.0  48487.20 99
115956.0  48487.40 99
115957.0  48487.42 99
115958.0  48487.52 99
115959.0  48487.96 99
120000.0  48488.51 99
120001.0  48488.29 99
120002.0  48488.13 99
120003.0  48488.25 99
120004.0  48488.23 99
120005.0  48488.08 99
120006.0  48488.24 99
120007.0  48487.57 99
120008.0  48486.90 99
120009.0  48486.58 99
120010.0  48486.60 99
120011.0  48486.68 99
120012.0  48486.34 99
120013.0  48485.92 99
120014.0  48485.63 99
120015.0  48485.58 99
120016.0  48486.11 99
120017.0  48486.88 99
120018.0  48487.39 99
120019.0  48488.02 99
120020.0  48488.51 99
120021.0  48488.45 99
120022.0  48488.56 99
120023.0  48488.52 99
120024.0  48488.82 99
120025.0  48488.69 99
120026.0  48488.19 99
120027.0  48487.87 99
120028.0  48487.50 99
120029.0  48487.04 99
120030.0  48486.87 99
120031.0  48487.00 99
120032.0  48487.09 99
120033.0  48487.89 99
120034.0  48487.71 99
120035.0  48487.02 99
120036.0  48486.75 99
120037.0  48487.21 99
120038.0  48488.16 99
120039.0  48488.56 99
120040.0  48488.07 99
120041.0  48487.79 99
120042.0  48487.16 99
120043.0  48487.07 99
