
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 24c-sch .b   09 VII10
datum  48000.00


124141.0  48539.59 99
124142.0  48539.98 99
124143.0  48538.39 99
124144.0  48536.44 99
124145.0  48534.43 99
124146.0  48535.46 99
124147.0  48537.48 99
124148.0  48539.26 99
124149.0  48540.21 99
124150.0  48539.59 99
124151.0  48537.99 99
124152.0  48538.02 99
124153.0  48539.69 99
124154.0  48541.57 99
124155.0  48543.43 99
124156.0  48542.81 99
124157.0  48542.09 99
124158.0  48539.98 99
124159.0  48540.07 99
124200.0  48541.44 99
124201.0  48543.41 99
124202.0  48544.62 99
124203.0  48542.91 99
124204.0  48540.95 99
124205.0  48539.13 99
124206.0  48539.32 99
124207.0  48540.40 99
124208.0  48542.88 99
124209.0  48541.83 99
124210.0  48539.85 99
124211.0  48538.23 99
124212.0  48534.95 99
124213.0  48535.59 99
124214.0  48536.89 99
124215.0  48539.84 99
124216.0  48538.92 99
124217.0  48537.99 99
124218.0  48536.05 99
124219.0  48537.06 99
124220.0  48538.38 99
124221.0  48541.03 99
124222.0  48540.34 99
124223.0  48539.27 99
124224.0  48537.63 99
124225.0  48536.94 99
124226.0  48538.76 99
124227.0  48542.20 99
124228.0  48541.67 99
124229.0  48540.40 99
124230.0  48538.88 99
124231.0  48536.86 99
124232.0  48538.53 99
124233.0  48540.61 99
124234.0  48541.56 99
124235.0  48542.56 99
124236.0  48541.55 99
124237.0  48539.97 99
124238.0  48538.64 99
124239.0  48539.89 99
124240.0  48542.28 99
124241.0  48544.53 99
124242.0  48542.94 99
124243.0  48541.13 99
124244.0  48539.37 99
124245.0  48539.16 99
124246.0  48540.03 99
124247.0  48541.27 99
124248.0  48541.96 99
124249.0  48540.98 99
124250.0  48539.92 99
124251.0  48538.56 99
124252.0  48538.97 99
124253.0  48540.15 99
124254.0  48542.79 99
124255.0  48544.04 99
124256.0  48543.47 99
124257.0  48541.80 99
124258.0  48539.48 99
124259.0  48539.17 99
124300.0  48539.13 99
124301.0  48539.52 99
124302.0  48539.61 99
124303.0  48538.81 99
124304.0  48537.65 99
124305.0  48535.59 99
124306.0  48536.43 99
124307.0  48537.65 99
124308.0  48539.49 99
124309.0  48540.66 99
124310.0  48539.79 99
124311.0  48538.56 99
124312.0  48536.75 99
124313.0  48537.82 99
124314.0  48539.15 99
124315.0  48541.38 99
124316.0  48539.96 99
124317.0  48538.61 99
124318.0  48536.08 99
124319.0  48535.66 99
124320.0  48536.04 99
124321.0  48537.08 99
124322.0  48541.26 99
124323.0  48542.25 99
124324.0  48541.38 99
124325.0  48538.78 99
124326.0  48539.06 99
124327.0  48539.76 99
124328.0  48542.05 99
124329.0  48543.74 99
124330.0  48542.31 99
124331.0  48539.93 99
124332.0  48538.39 99
124333.0  48539.18 99
124334.0  48540.30 99
124335.0  48542.45 99
124336.0  48541.88 99
124337.0  48540.90 99
124338.0  48538.92 99
124339.0  48537.83 99
124340.0  48538.69 99
124341.0  48539.44 99
124342.0  48540.92 99
124343.0  48542.59 99
124344.0  48541.42 99
124345.0  48539.40 99
124346.0  48538.54 99
124347.0  48539.93 99
124348.0  48542.09 99
124349.0  48543.43 99
124350.0  48543.06 99
124351.0  48541.51 99
124352.0  48538.84 99
124353.0  48537.84 99
124354.0  48538.44 99
124355.0  48539.71 99
124356.0  48540.78 99
124357.0  48539.14 99
124358.0  48537.36 99
124359.0  48535.68 99
124400.0  48537.24 99
124401.0  48540.15 99
124402.0  48543.93 99
124403.0  48543.28 99
124404.0  48542.00 99
124405.0  48539.55 99
124406.0  48539.01 99
124407.0  48539.76 99
124408.0  48541.44 99
124409.0  48543.46 99
124410.0  48541.76 99
124411.0  48540.42 99
124412.0  48538.94 99
124413.0  48540.13 99
124414.0  48542.03 99
124415.0  48544.51 99
124416.0  48543.48 99
124417.0  48542.22 99
124418.0  48540.02 99
124419.0  48540.63 99
124420.0  48541.29 99
124421.0  48542.94 99
124422.0  48544.31 99
124423.0  48543.08 99
124424.0  48541.70 99
124425.0  48539.26 99
124426.0  48539.53 99
124427.0  48540.30 99
124428.0  48541.19 99
124429.0  48541.81 99
124430.0  48541.03 99
124431.0  48540.11 99
124432.0  48538.53 99
124433.0  48539.66 99
124434.0  48541.53 99
124435.0  48544.44 99
124436.0  48545.32 99
124437.0  48544.16 99
124438.0  48542.18 99
124439.0  48540.02 99
124440.0  48540.98 99
124441.0  48542.51 99
124442.0  48543.38 99
124443.0  48542.46 99
124444.0  48541.73 99
124445.0  48540.16 99
124446.0  48539.85 99
124447.0  48540.20 99
124448.0  48541.03 99
124449.0  48542.80 99
124450.0  48542.42 99
124451.0  48540.10 99
124452.0  48537.49 99
124453.0  48538.33 99
124454.0  48539.48 99
124455.0  48541.68 99
124456.0  48542.38 99
124457.0  48540.95 99
124458.0  48539.27 99
124459.0  48537.29 99
124500.0  48538.28 99
124501.0  48539.39 99
124502.0  48541.13 99
124503.0  48541.06 99
124504.0  48539.80 99
124505.0  48538.17 99
124506.0  48537.63 99
124507.0  48538.39 99
124508.0  48539.23 99
124509.0  48539.24 99
124510.0  48541.27 99
124511.0  48541.73 99
124512.0  48541.50 99
124513.0  48540.03 99
124514.0  48538.90 99
124515.0  48540.44 99
124516.0  48541.43 99
124517.0  48543.69 99
124518.0  48542.17 99
124519.0  48540.51 99
124520.0  48538.32 99
124521.0  48539.41 99
124522.0  48540.78 99
124523.0  48542.23 99
124524.0  48542.50 99
124525.0  48541.57 99
124526.0  48539.54 99
124527.0  48537.41 99
124528.0  48538.11 99
124529.0  48539.29 99
124530.0  48542.42 99
124531.0  48541.78 99
124532.0  48540.29 99
124533.0  48538.67 99
124534.0  48537.97 99
124535.0  48539.25 99
124536.0  48540.09 99
124537.0  48540.93 99
124538.0  48542.44 99
124539.0  48540.94 99
124540.0  48539.61 99
124541.0  48537.51 99
124542.0  48538.59 99
124543.0  48539.44 99
124544.0  48541.32 99
124545.0  48539.66 99
124546.0  48537.54 99
124547.0  48535.47 99
124548.0  48536.74 99
124549.0  48538.32 99
124550.0  48539.66 99
124551.0  48540.37 99
124552.0  48539.95 99
124553.0  48539.30 99
124554.0  48538.14 99
124555.0  48538.66 99
124556.0  48539.76 99
124557.0  48542.48 99
124558.0  48541.55 99
124559.0  48541.16 99
124600.0  48539.70 99
124601.0  48538.39 99
124602.0  48539.63 99
124603.0  48542.15 99
124604.0  48543.46 99
124605.0  48543.71 99
124606.0  48543.01 99
124607.0  48541.46 99
124608.0  48542.34 99
124609.0  48543.19 99
124610.0  48544.72 99
124611.0  48544.82 99
124612.0  48542.89 99
124613.0  48540.48 99
124614.0  48537.83 99
124615.0  48538.39 99
124616.0  48539.44 99
124617.0  48539.81 99
124618.0  48541.76 99
124619.0  48540.84 99
124620.0  48539.40 99
124621.0  48537.55 99
124622.0  48537.13 99
124623.0  48538.95 99
124624.0  48541.71 99
124625.0  48542.78 99
124626.0  48541.31 99
124627.0  48539.48 99
124628.0  48538.32 99
124629.0  48539.57 99
124630.0  48540.62 99
124631.0  48541.91 99
124632.0  48542.83 99
124633.0  48541.42 99
124634.0  48539.82 99
124635.0  48538.72 99
124636.0  48539.94 99
124637.0  48542.03 99
124638.0  48542.93 99
124639.0  48544.82 99
124640.0  48544.33 99
124641.0  48542.98 99
124642.0  48541.65 99
124643.0  48540.19 99
124644.0  48540.46 99
124645.0  48541.57 99
124646.0  48544.00 99
124647.0  48544.35 99
124648.0  48543.45 99
124649.0  48541.94 99
124650.0  48539.60 99
124651.0  48539.91 99
124652.0  48540.94 99
124653.0  48542.65 99
124654.0  48543.78 99
124655.0  48542.39 99
124656.0  48540.68 99
124657.0  48538.82 99
124658.0  48539.13 99
124659.0  48539.67 99
124700.0  48541.60 99
124701.0  48541.65 99
124702.0  48540.62 99
124703.0  48539.29 99
124704.0  48537.41 99
124705.0  48538.48 99
124706.0  48540.54 99
124707.0  48542.81 99
124708.0  48541.84 99
124709.0  48540.72 99
124710.0  48539.25 99
124711.0  48538.11 99
124712.0  48539.20 99
124713.0  48540.95 99
124714.0  48543.51 99
124715.0  48542.35 99
124716.0  48541.21 99
124717.0  48540.23 99
124718.0  48539.42 99
124719.0  48540.47 99
124720.0  48542.07 99
124721.0  48544.48 99
124722.0  48542.77 99
124723.0  48541.30 99
124724.0  48539.13 99
124725.0  48539.27 99
124726.0  48540.70 99
124727.0  48541.69 99
124728.0  48543.53 99
124729.0  48543.03 99
124730.0  48541.28 99
124731.0  48539.03 99
124732.0  48538.29 99
124733.0  48538.95 99
124734.0  48540.95 99
124735.0  48541.99 99
124736.0  48540.29 99
124737.0  48539.02 99
124738.0  48537.01 99
124739.0  48536.97 99
124740.0  48537.51 99
124741.0  48539.49 99
124742.0  48541.97 99
124743.0  48541.31 99
124744.0  48540.32 99
124745.0  48538.38 99
124746.0  48538.51 99
124747.0  48539.33 99
124748.0  48541.86 99
124749.0  48542.30 99
124750.0  48541.23 99
124751.0  48538.23 99
124752.0  48537.74 99
124753.0  48539.07 99
124754.0  48540.31 99
124755.0  48543.12 99
124756.0  48542.30 99
124757.0  48541.15 99
124758.0  48539.15 99
124759.0  48538.78 99
124800.0  48539.78 99
124801.0  48542.29 99
124802.0  48544.07 99
124803.0  48542.69 99
124804.0  48541.32 99
124805.0  48539.64 99
124806.0  48540.85 99
124807.0  48542.63 99
124808.0  48544.64 99
124809.0  48543.32 99
124810.0  48541.79 99
124811.0  48539.27 99
124812.0  48539.27 99
124813.0  48539.77 99
124814.0  48540.54 99
124815.0  48542.28 99
124816.0  48541.24 99
124817.0  48539.91 99
124818.0  48538.75 99
124819.0  48539.36 99
124820.0  48540.28 99
124821.0  48542.81 99
124822.0  48542.72 99
124823.0  48541.19 99
124824.0  48539.27 99
124825.0  48537.89 99
124826.0  48538.29 99
124827.0  48540.07 99
124828.0  48541.86 99
124829.0  48540.39 99
124830.0  48538.20 99
124831.0  48536.62 99
124832.0  48537.82 99
124833.0  48538.95 99
124834.0  48540.94 99
124835.0  48539.62 99
124836.0  48538.69 99
124837.0  48537.01 99
124838.0  48536.64 99
124839.0  48537.79 99
124840.0  48540.15 99
124841.0  48539.40 99
124842.0  48538.04 99
124843.0  48536.34 99
124844.0  48537.15 99
124845.0  48538.33 99
124846.0  48540.05 99
124847.0  48541.72 99
124848.0  48539.67 99
124849.0  48537.88 99
124850.0  48535.86 99
124851.0  48536.91 99
124852.0  48538.49 99
124853.0  48540.91 99
124854.0  48541.28 99
124855.0  48540.19 99
124856.0  48538.39 99
124857.0  48538.59 99
124858.0  48539.69 99
124859.0  48541.31 99
124900.0  48541.18 99
124901.0  48540.61 99
124902.0  48538.82 99
124903.0  48537.88 99
124904.0  48540.16 99
124905.0  48542.41 99
124906.0  48543.47 99
124907.0  48544.50 99
124908.0  48543.27 99
124909.0  48541.49 99
124910.0  48539.85 99
124911.0  48540.67 99
124912.0  48542.83 99
124913.0  48543.74 99
124914.0  48541.60 99
124915.0  48538.68 99
124916.0  48537.94 99
124917.0  48539.84 99
124918.0  48541.95 99
124919.0  48544.65 99
124920.0  48543.12 99
124921.0  48541.31 99
124922.0  48538.74 99
124923.0  48539.69 99
124924.0  48540.70 99
124925.0  48541.80 99
124926.0  48542.72 99
124927.0  48539.67 99
124928.0  48537.06 99
124929.0  48535.16 99
124930.0  48536.02 99
124931.0  48537.89 99
124932.0  48539.99 99
124933.0  48539.63 99
124934.0  48538.45 99
124935.0  48537.20 99
124936.0  48535.98 99
124937.0  48537.13 99
124938.0  48538.62 99
124939.0  48541.04 99
124940.0  48539.74 99
124941.0  48537.87 99
124942.0  48535.43 99
124943.0  48536.12 99
124944.0  48537.83 99
124945.0  48538.22 99
124946.0  48539.42 99
124947.0  48538.50 99
124948.0  48537.45 99
124949.0  48536.70 99
124950.0  48535.58 99
124951.0  48536.87 99
124952.0  48538.72 99
124953.0  48540.44 99
124954.0  48540.93 99
124955.0  48539.91 99
124956.0  48537.73 99
124957.0  48537.25 99
124958.0  48539.22 99
124959.0  48542.13 99
125000.0  48543.56 99
125001.0  48542.33 99
125002.0  48540.05 99
125003.0  48539.10 99
125004.0  48539.80 99
125005.0  48539.87 99
125006.0  48542.62 99
125007.0  48543.52 99
125008.0  48541.61 99
125009.0  48540.13 99
125010.0  48538.63 99
125011.0  48537.68 99
125012.0  48538.57 99
125013.0  48540.81 99
125014.0  48542.30 99
125015.0  48541.17 99
125016.0  48540.06 99
125017.0  48538.34 99
125018.0  48538.98 99
125019.0  48540.70 99
125020.0  48541.90 99
125021.0  48542.96 99
125022.0  48541.35 99
125023.0  48539.58 99
125024.0  48537.39 99
125025.0  48538.28 99
125026.0  48539.57 99
125027.0  48541.32 99
125028.0  48539.99 99
125029.0  48538.42 99
125030.0  48536.45 99
125031.0  48535.67 99
125032.0  48536.07 99
125033.0  48537.23 99
125034.0  48538.54 99
125035.0  48537.28 99
125036.0  48536.43 99
125037.0  48535.04 99
125038.0  48535.95 99
125039.0  48536.97 99
125040.0  48539.66 99
125041.0  48542.50 99
125042.0  48541.13 99
125043.0  48539.56 99
125044.0  48537.56 99
125045.0  48538.61 99
125046.0  48540.69 99
125047.0  48541.85 99
125048.0  48542.40 99
125049.0  48539.77 99
125050.0  48536.77 99
125051.0  48534.85 99
125052.0  48536.31 99
125053.0  48538.42 99
125054.0  48540.62 99
125055.0  48539.71 99
125056.0  48538.83 99
125057.0  48537.29 99
125058.0  48537.66 99
125059.0  48538.10 99
125100.0  48539.86 99
125101.0  48542.58 99
125102.0  48541.51 99
125103.0  48541.05 99
125104.0  48539.25 99
125105.0  48540.84 99
125106.0  48541.90 99
125107.0  48543.75 99
125108.0  48541.84 99
125109.0  48540.42 99
125110.0  48538.62 99
125111.0  48537.52 99
125112.0  48538.38 99
125113.0  48540.35 99
125114.0  48540.95 99
125115.0  48539.38 99
125116.0  48538.00 99
125117.0  48536.62 99
125118.0  48538.28 99
125119.0  48539.14 99
125120.0  48540.69 99
125121.0  48539.79 99
125122.0  48538.31 99
125123.0  48537.12 99
125124.0  48537.66 99
125125.0  48538.80 99
125126.0  48541.35 99
125127.0  48543.14 99
125128.0  48541.89 99
125129.0  48540.89 99
125130.0  48539.21 99
125131.0  48539.11 99
125132.0  48540.13 99
125133.0  48542.41 99
125134.0  48542.32 99
125135.0  48541.29 99
125136.0  48539.07 99
125137.0  48539.21 99
125138.0  48541.37 99
125139.0  48543.64 99
125140.0  48545.14 99
125141.0  48545.37 99
125142.0  48543.65 99
125143.0  48541.31 99
125144.0  48539.71 99
125145.0  48541.17 99
125146.0  48542.33 99
