 # MagPy - ASCII
 # DataPier:  A2
 # DataComponents:  IDFF
 # StationID:  WIC
 # DataFormat:  MagPyDI
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2015-11-25T08:32:00.038402,64.2750623847,3.90665289668,48497.1873382,48497.1873382,6.8,0.984380795887,0.145106394636,-3.55256231065,11.4967320084,1.63037665394,11.6846090875,20959.2867737,3.86716070054,43568.5870574,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-11-25T09:02:00.009598,64.2802066652,3.89886182386,48494.0749149,48494.0749149,6.8,0.976724875528,1.66229932583,-3.47955771037,11.0082466137,2.23268795305,10.7581673603,20959.4321237,3.86772914097,43568.5294049,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-03T07:34:59.980800,64.2803596982,3.90320598141,48501.436083,48501.436083,6.8,nan,0.13245224159,-3.33867505982,11.7050454209,nan,nan,nan,nan,nan,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-03T08:05:00.038398,64.2840538965,3.90870366495,48499.028787,48499.028787,6.8,nan,1.53121253702,-3.64680689478,10.946657043,nan,nan,nan,nan,nan,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-09T08:01:59.980804,64.2848456372,3.91407644488,48499.342175,48499.342175,6.8,nan,-0.711316969294,-3.1476957003,10.9428053373,nan,nan,nan,nan,nan,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-09T08:33:59.961599,64.2904691792,3.91297695777,48497.1399248,48497.1399248,6.8,nan,1.19222015781,-3.35133917002,9.88577705175,nan,nan,nan,nan,nan,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-09T09:09:59.961601,64.2958685135,3.90431738354,48495.270878,48495.270878,6.8,nan,2.02549187945,-1.87055786894,-12.7616675209,nan,nan,nan,nan,nan,nan,Herzog,WILD_231067_07-2011_MAG01H_562_1024H_07-2011,180.1372,Fext,0000000000000000-,-,idff,-
2015-12-09T09:42:00.028797,64.2995107469,3.8934813886,48494.1395756,48494.1395756,6.8,nan,2.33399676419,-1.54039805966,-12.7807514964,nan,nan,nan,nan,nan,nan,Herzog,WILD_231067_07-2011_MAG01H_562_1024H_07-2011,180.1372,Fext,0000000000000000-,-,idff,-
2015-12-16T07:25:59.980802,64.2912595248,3.89759683133,48498.8139021,48498.8139021,6.8,0.973345008465,2.45759956306,-4.21432989288,12.9113842348,2.8668774187,10.6262695638,20959.670293,3.86460089784,43568.3258345,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-16T07:54:59.990395,64.2912513731,3.90047268443,48498.8886424,48498.8886424,6.8,0.987678610127,2.82073889318,-3.68062558585,9.32769710842,2.42020810452,9.33179022943,20958.6307325,3.86545913017,43568.839083,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
